what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605359253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605359313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605392755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605392895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1391605409055
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391605422965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605427275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605440545
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391605440675
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391605440705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605523755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605523815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605594017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605594137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605708897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605709047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605772817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605772907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1391605819707
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391605919438
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391605919438
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391605921058
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391605921058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605927108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605944158
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391605944318
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391605944338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605987711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391605987801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606035831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606035931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1391606108151
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391606113061
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391606113061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606143251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606155911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606362271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606384931
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391606385161
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391606385181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606454281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606454371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606509471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606509591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606789594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606789684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606893996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391606894106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1391606903566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1391607019570
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391607022230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607119900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607141150
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391607141372
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391607141402
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1391607162802
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1391607164962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607204273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607204343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607319245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607319385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1391607376115
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391607383055
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391607383055
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391607384155
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391607384155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607726855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607753505
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391607753725
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391607753755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607940176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607940276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607999286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391607999366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1391608071919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391608073289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391608229521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391608229591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1391608316691
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391608321991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391608327331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391608338881
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391608339041
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391608339081
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391608360091
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391608365421
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391608372701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1391608375821
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391608377671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391608378901
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391608381381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1391608390101
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391608393821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391608395091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391608437431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391608437581
